,Nome,Loja,Preço,Tipo,Dia,Anos,Tamanho,valor,moeda
330,Pináculos,cassino(qicoin),3 000,pinturas,,,,3,000
331,Rainha do Mar de Joias,cassino(qicoin),,pinturas,,,,,
332,Caminhos,cassino(qicoin),,pinturas,,,,,
333,O Muzamaro,cassino(qicoin),,pinturas,,,,,
334,Vila de Baunilha,cassino(qicoin),,pinturas,,,,,
335,Paraíso VGA,cassino(qicoin),,pinturas,,,,,
336,Sonhos Congelados,cassino(qicoin),,pinturas,,,,,
337,Barco,cassino(qicoin),,pinturas,,,,,
338,Pintura de Vegetação,cassino(qicoin),,pinturas,,,,,
339,Básicos da Física,cassino(qicoin),,pinturas,,,,,
340,Mestrepipa 95,cassino(qicoin),,pinturas,,,,,
341,Sol nº 44,cassino(qicoin),,pinturas,,,,,
342,Cataratas de Calico,cassino(qicoin),,pinturas,,,,,
343,Sol nº 45,cassino(qicoin),,pinturas,,,,,
344,Cidade Azul,cassino(qicoin),,pinturas,,,,,
345,Mirtilos,cassino(qicoin),,pinturas,,,,,
346,Arvorezinha,cassino(qicoin),,pinturas,,,,,
347,Flor bordada,cassino(qicoin),,pinturas,,,,,
348,Grama dançante,cassino(qicoin),,pinturas,,,,,
349,Minha Primeira Pintura,cassino(qicoin),,pinturas,,,,,
350,Pinturas Coloridas,cassino(qicoin),,pinturas,,,,,
351,Paisagem,cassino(qicoin),,pinturas,,,,,
352,Foto do Vulcão,cassino(qicoin),,pinturas,,,,,
353,Uma Noite em Ecolina,carrinho_viagem(ouros),,pinturas,,,,,
354,Colinas de Jade,carrinho_viagem(ouros),,pinturas,,,,,
355,Colinas de Jade Extendidas,carrinho_viagem(ouros),,pinturas,,,,,
356,Oferta Queimada,carrinho_viagem(ouros),,pinturas,,,,,
357,Rodovia 89,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
358,Movimento Primordial,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
359,Pináculos,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
360,Rainha do Mar de Joias,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
361,Caminhos,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
362,O Muzamaro,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
363,Vila de Baunilha,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
364,Paraíso VGA,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
365,Sonhos Congelados,carrinho_viagem(ouros),,pinturas,,,,,
366,Barco,carrinho_viagem(ouros),,pinturas,,,,,
367,Pintura de Vegetação,carrinho_viagem(ouros),,pinturas,,,,,
368,Básicos da Física,carrinho_viagem(ouros),,pinturas,,,,,
369,Mestrepipa 95,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
370,Sol nº 44,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
371,Cataratas de Calico,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
372,Sol nº 45,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
373,Cidade Azul,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
374,Mirtilos,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
375,Arvorezinha,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
376,Flor bordada,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
377,Grama dançante,carrinho_viagem(ouros),250–2 500 ouros,pinturas,,,,25,0
378,Minha Primeira Pintura,carrinho_viagem(ouros),,pinturas,,,,,
379,Pinturas Coloridas,carrinho_viagem(ouros),,pinturas,,,,,
380,Paisagem,carrinho_viagem(ouros),,pinturas,,,,,
381,Foto do Vulcão,carrinho_viagem(ouros),,pinturas,,,,,
382,Uma Noite em Ecolina,pierre(ouros),,pinturas,,,,,
383,Colinas de Jade,pierre(ouros),,pinturas,,,,,
384,Colinas de Jade Extendidas,pierre(ouros),,pinturas,,,,,
385,Oferta Queimada,pierre(ouros),,pinturas,,,,,
386,Rodovia 89,pierre(ouros),,pinturas,,,,,
387,Movimento Primordial,pierre(ouros),,pinturas,,,,,
388,Pináculos,pierre(ouros),,pinturas,,,,,
389,Rainha do Mar de Joias,pierre(ouros),,pinturas,,,,,
390,Caminhos,pierre(ouros),,pinturas,,,,,
391,O Muzamaro,pierre(ouros),,pinturas,,,,,
392,Vila de Baunilha,pierre(ouros),,pinturas,,,,,
393,Paraíso VGA,pierre(ouros),,pinturas,,,,,
394,Sonhos Congelados,pierre(ouros),2 000 ouros,pinturas,,,,2,000
395,Barco,pierre(ouros),,pinturas,,,,,
396,Pintura de Vegetação,pierre(ouros),,pinturas,,,,,
397,Básicos da Física,pierre(ouros),,pinturas,,,,,
398,Mestrepipa 95,pierre(ouros),,pinturas,,,,,
399,Sol nº 44,pierre(ouros),,pinturas,,,,,
400,Cataratas de Calico,pierre(ouros),,pinturas,,,,,
401,Sol nº 45,pierre(ouros),,pinturas,,,,,
402,Cidade Azul,pierre(ouros),,pinturas,,,,,
403,Mirtilos,pierre(ouros),,pinturas,,,,,
404,Arvorezinha,pierre(ouros),,pinturas,,,,,
405,Flor bordada,pierre(ouros),,pinturas,,,,,
406,Grama dançante,pierre(ouros),,pinturas,,,,,
407,Minha Primeira Pintura,pierre(ouros),,pinturas,,,,,
408,Pinturas Coloridas,pierre(ouros),500 ouros,pinturas,,,,500,ouros
409,Paisagem,pierre(ouros),,pinturas,,,,,
410,Foto do Vulcão,pierre(ouros),Manga  (5),pinturas,,,,5,Manga
411,Uma Noite em Ecolina,oasis(ouros),,pinturas,,,,,
412,Colinas de Jade,oasis(ouros),,pinturas,,,,,
413,Colinas de Jade Extendidas,oasis(ouros),5 000 ouros,pinturas,,,,5,000
414,Oferta Queimada,oasis(ouros),,pinturas,,,,,
415,Rodovia 89,oasis(ouros),,pinturas,,,,,
416,Movimento Primordial,oasis(ouros),,pinturas,,,,,
417,Pináculos,oasis(ouros),,pinturas,,,,,
418,Rainha do Mar de Joias,oasis(ouros),,pinturas,,,,,
419,Caminhos,oasis(ouros),,pinturas,,,,,
420,O Muzamaro,oasis(ouros),,pinturas,,,,,
421,Vila de Baunilha,oasis(ouros),,pinturas,,,,,
422,Paraíso VGA,oasis(ouros),,pinturas,,,,,
423,Sonhos Congelados,oasis(ouros),,pinturas,,,,,
424,Barco,oasis(ouros),,pinturas,,,,,
425,Pintura de Vegetação,oasis(ouros),,pinturas,,,,,
426,Básicos da Física,oasis(ouros),,pinturas,,,,,
427,Mestrepipa 95,oasis(ouros),,pinturas,,,,,
428,Sol nº 44,oasis(ouros),,pinturas,,,,,
429,Cataratas de Calico,oasis(ouros),,pinturas,,,,,
430,Sol nº 45,oasis(ouros),,pinturas,,,,,
431,Cidade Azul,oasis(ouros),,pinturas,,,,,
432,Mirtilos,oasis(ouros),,pinturas,,,,,
433,Arvorezinha,oasis(ouros),,pinturas,,,,,
434,Flor bordada,oasis(ouros),,pinturas,,,,,
435,Grama dançante,oasis(ouros),,pinturas,,,,,
436,Minha Primeira Pintura,oasis(ouros),,pinturas,,,,,
437,Pinturas Coloridas,oasis(ouros),,pinturas,,,,,
438,Paisagem,oasis(ouros),,pinturas,,,,,
439,Foto do Vulcão,oasis(ouros),,pinturas,,,,,
440,Girassóis secos,carpintaria(ouros),100  (Apenas na  Feira do Vale do Orvalho  ),plantas_decorativas_chao,,,,10,0
441,Bonsai,carpintaria(ouros),800 ouros,plantas_decorativas_chao,,,,800,ouros
442,Pinheirinho,carpintaria(ouros),500 ouros,plantas_decorativas_chao,,,,500,ouros
443,Coluna de madeira,carpintaria(ouros),1 000 ouros,plantas_decorativas_chao,,,,1,000
444,Planta pequena,carpintaria(ouros),250 ouros,plantas_decorativas_chao,,,,250,ouros
445,Planta de mesa,carpintaria(ouros),250 ouros,plantas_decorativas_chao,,,,250,ouros
446,Árvore de Luxo,carpintaria(ouros),,plantas_decorativas_chao,,,,,
447,Árvore Exótica,carpintaria(ouros),,plantas_decorativas_chao,,,,,
448,Girassóis secos,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
449,Bonsai,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
450,Pinheirinho,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
451,Coluna de madeira,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
452,Planta pequena,carrinho_viagem(ouros),250–2 500 ouros,plantas_decorativas_chao,,,,25,0
453,Planta de mesa,carrinho_viagem(ouros),250–2 500 ouros,plantas_decorativas_chao,,,,25,0
454,Árvore de Luxo,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
455,Árvore Exótica,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
456,Palmeira,carpintaria(ouros),600 ouros,plantas_decorativas_chao,,,,600,ouros
457,Árvore podada,carpintaria(ouros),500 ouros,plantas_decorativas_chao,,,,500,ouros
458,Pinheiro podado,carpintaria(ouros),500 ouros,plantas_decorativas_chao,,,,500,ouros
459,Árvore da Estrela de Inverno,carpintaria(ouros),5 000 ouros,plantas_decorativas_chao,,,,5,000
460,Cacto Longo,carpintaria(ouros),,plantas_decorativas_chao,,,,,
461,Longa Palmeira,carpintaria(ouros),,plantas_decorativas_chao,,,,,
462,Palmeira,carrinho_viagem(ouros),250–2 500 ouros,plantas_decorativas_chao,,,,25,0
463,Árvore podada,carrinho_viagem(ouros),250–2 500 ouros,plantas_decorativas_chao,,,,25,0
464,Pinheiro podado,carrinho_viagem(ouros),250–2 500 ouros,plantas_decorativas_chao,,,,25,0
465,Árvore da Estrela de Inverno,carrinho_viagem(ouros),250–2 500 ouros,plantas_decorativas_chao,,,,25,0
466,Cacto Longo,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
467,Longa Palmeira,carrinho_viagem(ouros),,plantas_decorativas_chao,,,,,
468,Pisca-Pisca,Carpintaria,400 ouros,plantas_decorativas_penduradas,,,,400,ouros
469,Decalque de Folhas,Carpintaria,400 ouros,plantas_decorativas_penduradas,,,,400,ouros
470,Decalque de Folhas,Luau,400 ouros,plantas_decorativas_penduradas,,,,400,ouros
471,Decalque de selva,Luau,800 ouros,plantas_decorativas_penduradas,,,,800,ouros
472,Decalque de Cacto,Oásis,700 ouros,plantas_decorativas_penduradas,,,,700,ouros
473,Decalque de Flor Pequeno,Dança das Flores,800 ouros,plantas_decorativas_penduradas,,,,800,ouros
474,Decalque de Flor,Dança das Flores,800 ouros,plantas_decorativas_penduradas,,,,800,ouros
475,Decalque de Palmeira,Luau,1 000 ouros,plantas_decorativas_penduradas,,,,1,000
476,Ornamento de Palmeira,Comerciante da Ilha,Abacaxi  (1),plantas_decorativas_penduradas,,,,1,Abacaxi
477,Cesta Pendurada,Jogo do Guindaste no  Cinema,,plantas_decorativas_penduradas,,,,,
478,Cesta de Parede,Pesca  no lago do  Bosque Secreto,,plantas_decorativas_penduradas,,,,,
479,sazonal0,Pierre  no  Festival do Ovo,350 ouros,plantas_decorativas_sazonais,,,,350,ouros
480,sazonal1,Pierre  no  Festival do Ovo,350 ouros,plantas_decorativas_sazonais,,,,350,ouros
481,sazonal2,Pierre  na  Dança das Flores,350 ouros,plantas_decorativas_sazonais,,,,350,ouros
482,sazonal3,Sandy  no  Oásis,100 ouros,plantas_decorativas_sazonais,,,,100,ouros
483,sazonal4,Robin  na  Carpintaria,400 ouros,plantas_decorativas_sazonais,,,,400,ouros
484,sazonal5,Pierre  na  Dança das Flores,350 ouros,plantas_decorativas_sazonais,,,,350,ouros
485,Poltrona azul,,1 000 ouros,poltronas,,,,1,000
486,Poltrona marrom,,1 000 ouros,poltronas,,,,1,000
487,Poltrona verde,,1 000 ouros,poltronas,,,,1,000
488,Poltrona vermelha,,1 000 ouros,poltronas,,,,1,000
489,Poltrona amarela,,1 000 ouros,poltronas,,,,1,000
490,O Uivo na Chuva,,,posteres,,,,,
491,Jornada do Rei da Pradaria: O Filme,,,posteres,,,,,
492,Mysterium,,,posteres,,,,,
493,Maravilhas Naturais: Explorando Nosso Mundo Vibrante,,,posteres,,,,,
494,Sofá azul,carpintaria(ouros),1 750 ouros,sofas,,,,1,750
495,Sofá marrom,carpintaria(ouros),1 750 ouros,sofas,,,,1,750
496,Sofá verde,carpintaria(ouros),1 750 ouros,sofas,,,,1,750
497,Sofá vermelho,carpintaria(ouros),1 750 ouros,sofas,,,,1,750
498,Sofá amarelo,carpintaria(ouros),1 750 ouros,sofas,,,,1,750
499,Sofá negro,carpintaria(ouros),2 500 ouros,sofas,,,,2,500
500,Sofá de madeira,carpintaria(ouros),3 000 ouros,sofas,,,,3,000
501,Sofá de feiticeiro,carpintaria(ouros),4 000 ouros,sofas,,,,4,000
502,Sofá Marrom Grande,carpintaria(ouros),3 000 ouros  (apenas no  Oásis  ),sofas,,,,3,000
503,Tapete de Bambu,carpintaria(ouros),250 ouros,tapetes,,,1 x 2,250,ouros
504,Tapete de Juta,carpintaria(ouros),350 ouros,tapetes,,,2 x 2,350,ouros
505,Tapete de Madeira,carpintaria(ouros),800 ouros,tapetes,,,2 x 2,800,ouros
506,Tapete Marinho,carpintaria(ouros),1 250 ouros,tapetes,,,3 x 2,1,250
507,Tapete negro,carpintaria(ouros),2 000 ouros,tapetes,,,3 x 2,2,000
508,Tapete vermelho,carpintaria(ouros),1 000 ouros,tapetes,,,3 x 2,1,000
509,Tapete Vermelho Grande,carpintaria(ouros),,tapetes,,,4 x 3,,
510,Tapete de Monstro,carpintaria(ouros),,tapetes,,,2 x 2,,
511,Tapete Verde Claro,carpintaria(ouros),,tapetes,,,3 x 2,,
512,Tapete de Flores,carpintaria(ouros),,tapetes,,,6 x 4,,
513,Tapete Verde Grande,carpintaria(ouros),,tapetes,,,4 x 3,,
514,Tapete Rústico,carpintaria(ouros),,tapetes,,,4 x 3,,
515,Tapete Grande de Cabana,carpintaria(ouros),,tapetes,,,4 x 3,,
516,Tapete verde de cabana,carpintaria(ouros),,tapetes,,,3 x 2,,
517,Tapete vermelho de cabana,carpintaria(ouros),,tapetes,,,3 x 2,,
518,Tapete místico,carpintaria(ouros),,tapetes,,,3 x 2,,
519,Tapete de Ossos,carpintaria(ouros),,tapetes,,,3 x 2,,
520,Tapete Nevado,carpintaria(ouros),,tapetes,,,3 x 2,,
521,Tapete de Pirata,carpintaria(ouros),,tapetes,,,3 x 2,,
522,Tapete de retalhos,carpintaria(ouros),800 ouros,tapetes,,,3 x 2,800,ouros
523,Tapete Salada de Frutas,carpintaria(ouros),,tapetes,,,3 x 2,,
524,Tapete Oceânico,carpintaria(ouros),,tapetes,,,3 x 2,,
525,Tapete Gelado,carpintaria(ouros),,tapetes,,,4 x 3,,
526,Tapete Doidinho,carpintaria(ouros),,tapetes,,,5 x 4,,
527,Tapete Moderno,carpintaria(ouros),,tapetes,,,5 x 4,,
528,Divisores de Chão,carpintaria(ouros),,tapetes,,,1 x 1,,
529,Tapete de Bambu,carrinho_viagem(ouros),,tapetes,,,1 x 2,,
530,Tapete de Juta,carrinho_viagem(ouros),,tapetes,,,2 x 2,,
531,Tapete de Madeira,carrinho_viagem(ouros),,tapetes,,,2 x 2,,
532,Tapete Marinho,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
533,Tapete negro,carrinho_viagem(ouros),250–2 500 ouros,tapetes,,,3 x 2,25,0
534,Tapete vermelho,carrinho_viagem(ouros),250–2 500 ouros,tapetes,,,3 x 2,25,0
535,Tapete Vermelho Grande,carrinho_viagem(ouros),,tapetes,,,4 x 3,,
536,Tapete de Monstro,carrinho_viagem(ouros),,tapetes,,,2 x 2,,
537,Tapete Verde Claro,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
538,Tapete de Flores,carrinho_viagem(ouros),,tapetes,,,6 x 4,,
539,Tapete Verde Grande,carrinho_viagem(ouros),,tapetes,,,4 x 3,,
540,Tapete Rústico,carrinho_viagem(ouros),,tapetes,,,4 x 3,,
541,Tapete Grande de Cabana,carrinho_viagem(ouros),,tapetes,,,4 x 3,,
542,Tapete verde de cabana,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
543,Tapete vermelho de cabana,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
544,Tapete místico,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
545,Tapete de Ossos,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
546,Tapete Nevado,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
547,Tapete de Pirata,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
548,Tapete de retalhos,carrinho_viagem(ouros),250–2 500 ouros,tapetes,,,3 x 2,25,0
549,Tapete Salada de Frutas,carrinho_viagem(ouros),,tapetes,,,3 x 2,,
550,Tapete Oceânico,carrinho_viagem(ouros),250–2 500 ouros,tapetes,,,3 x 2,25,0
551,Tapete Gelado,carrinho_viagem(ouros),,tapetes,,,4 x 3,,
552,Tapete Doidinho,carrinho_viagem(ouros),,tapetes,,,5 x 4,,
553,Tapete Moderno,carrinho_viagem(ouros),,tapetes,,,5 x 4,,
554,Divisores de Chão,carrinho_viagem(ouros),,tapetes,,,1 x 1,,
555,Tapete de Bambu,pierre(ouros),,tapetes,,,1 x 2,,
556,Tapete de Juta,pierre(ouros),,tapetes,,,2 x 2,,
557,Tapete de Madeira,pierre(ouros),,tapetes,,,2 x 2,,
558,Tapete Marinho,pierre(ouros),,tapetes,,,3 x 2,,
559,Tapete negro,pierre(ouros),,tapetes,,,3 x 2,,
560,Tapete vermelho,pierre(ouros),,tapetes,,,3 x 2,,
561,Tapete Vermelho Grande,pierre(ouros),1 000 ouros,tapetes,,,4 x 3,1,000
562,Tapete de Monstro,pierre(ouros),,tapetes,,,2 x 2,,
563,Tapete Verde Claro,pierre(ouros),500,tapetes,,,3 x 2,50,0
564,Tapete de Flores,pierre(ouros),,tapetes,,,6 x 4,,
565,Tapete Verde Grande,pierre(ouros),,tapetes,,,4 x 3,,
566,Tapete Rústico,pierre(ouros),,tapetes,,,4 x 3,,
567,Tapete Grande de Cabana,pierre(ouros),,tapetes,,,4 x 3,,
568,Tapete verde de cabana,pierre(ouros),,tapetes,,,3 x 2,,
569,Tapete vermelho de cabana,pierre(ouros),,tapetes,,,3 x 2,,
570,Tapete místico,pierre(ouros),,tapetes,,,3 x 2,,
571,Tapete de Ossos,pierre(ouros),,tapetes,,,3 x 2,,
572,Tapete Nevado,pierre(ouros),,tapetes,,,3 x 2,,
573,Tapete de Pirata,pierre(ouros),,tapetes,,,3 x 2,,
574,Tapete de retalhos,pierre(ouros),,tapetes,,,3 x 2,,
575,Tapete Salada de Frutas,pierre(ouros),,tapetes,,,3 x 2,,
576,Tapete Oceânico,pierre(ouros),,tapetes,,,3 x 2,,
577,Tapete Gelado,pierre(ouros),4 000 ouros,tapetes,,,4 x 3,4,000
578,Tapete Doidinho,pierre(ouros),4 000 ouros,tapetes,,,5 x 4,4,000
579,Tapete Moderno,pierre(ouros),4 000 ouros,tapetes,,,5 x 4,4,000
580,Divisores de Chão,pierre(ouros),,tapetes,,,1 x 1,,
581,Tapete de Bambu,oasis,,tapetes,,,1 x 2,,
582,Tapete de Juta,oasis,,tapetes,,,2 x 2,,
583,Tapete de Madeira,oasis,,tapetes,,,2 x 2,,
584,Tapete Marinho,oasis,,tapetes,,,3 x 2,,
585,Tapete negro,oasis,,tapetes,,,3 x 2,,
586,Tapete vermelho,oasis,,tapetes,,,3 x 2,,
587,Tapete Vermelho Grande,oasis,,tapetes,,,4 x 3,,
588,Tapete de Monstro,oasis,,tapetes,,,2 x 2,,
589,Tapete Verde Claro,oasis,,tapetes,,,3 x 2,,
590,Tapete de Flores,oasis,,tapetes,,,6 x 4,,
591,Tapete Verde Grande,oasis,2 500 ouros,tapetes,,,4 x 3,2,500
592,Tapete Rústico,oasis,2 500 ouros,tapetes,,,4 x 3,2,500
593,Tapete Grande de Cabana,oasis,2 000 ouros,tapetes,,,4 x 3,2,000
594,Tapete verde de cabana,oasis,,tapetes,,,3 x 2,,
595,Tapete vermelho de cabana,oasis,,tapetes,,,3 x 2,,
596,Tapete místico,oasis,,tapetes,,,3 x 2,,
597,Tapete de Ossos,oasis,,tapetes,,,3 x 2,,
598,Tapete Nevado,oasis,,tapetes,,,3 x 2,,
599,Tapete de Pirata,oasis,,tapetes,,,3 x 2,,
600,Tapete de retalhos,oasis,,tapetes,,,3 x 2,,
601,Tapete Salada de Frutas,oasis,,tapetes,,,3 x 2,,
602,Tapete Oceânico,oasis,Acará-Disco Azul  (3),tapetes,,,3 x 2,,
603,Tapete Gelado,oasis,,tapetes,,,4 x 3,,
604,Tapete Doidinho,oasis,,tapetes,,,5 x 4,,
605,Tapete Moderno,oasis,,tapetes,,,5 x 4,,
606,Divisores de Chão,oasis,,tapetes,,,1 x 1,,
607,Tocha Simples,Luau,700 ouros,tochas,,,,700,ouros
608,Tocha Simples,Barco de Decoração no  Mercado Noturno,800 ouros,tochas,,,,800,ouros
609,Tocha Simples,Catálogo de Mobília,0 ouro,tochas,,,,0,ouro
610,Tocha de Toco,Barco de Decoração no  Mercado Noturno,800 ouros,tochas,,,,800,ouros
611,Tocha de Toco,Catálogo de Mobília,0 ouro,tochas,,,,0,ouro
612,Tocha da Selva,Comerciante da Ilha,Fragmento de Brasa  (5),tochas,,,,,
613,TV de quarto,carpintaria(ouros),700 ouros,tvs,,,,700,ouros
614,TV barata,carpintaria(ouros),750 ouros,tvs,,,,750,ouros
615,TV de plasma,carpintaria(ouros),4 500 ouros,tvs,,,,4,500
616,TV Tropical,carpintaria(ouros),,tvs,,,,,
617,TV de quarto,comerciante_ilhas(inhame_coco),,tvs,,,,,
618,TV barata,comerciante_ilhas(inhame_coco),,tvs,,,,,
619,TV de plasma,comerciante_ilhas(inhame_coco),,tvs,,,,,
620,TV Tropical,comerciante_ilhas(inhame_coco),Inhame-coco  (30),tvs,,,,,
