,Nome,Descrição,Ingredientes_item,Ingredientes_qtd,Fonte da Receita,Origem da Receita,Dura Por,Energia,Saúde
296,Braseiro de barril,Ilumina moderadamente.,Carvão,1.0,Carpintaria  por  800 ouros,,,,
298,Braseiro de crânio,Ilumina moderadamente.,Madeira de lei,10.0,Carpintaria  por  3 000 ouros,,,,
299,Braseiro de crânio,Ilumina moderadamente.,Essência solar,1.0,Carpintaria  por  3 000 ouros,,,,
300,Braseiro de crânio,Ilumina moderadamente.,Carvão,1.0,Carpintaria  por  3 000 ouros,,,,
302,Braseiro de mármore,Ilumina moderadamente.,Mármore,1.0,Carpintaria  por  5 000 ouros,,,,
303,Braseiro de mármore,Ilumina moderadamente.,Água-marinha,1.0,Carpintaria  por  5 000 ouros,,,,
304,Braseiro de mármore,Ilumina moderadamente.,Pedra,100.0,Carpintaria  por  5 000 ouros,,,,
306,Poste de luz lígneo,Ilumina bem.,Madeira,50.0,Carpintaria  por  500 ouros,,,,
307,Poste de luz lígneo,Ilumina bem.,Conjunto de pilhas,1.0,Carpintaria  por  500 ouros,,,,
309,Poste de luz férreo,Ilumina bem.,Barra de ferro,1.0,Carpintaria  por  1 000 ouros,,,,
310,Poste de luz férreo,Ilumina bem.,Conjunto de pilhas,1.0,Carpintaria  por  1 000 ouros,,,,
312,Cabeça de abóbora,Uma sofisticada decoração de outono.,Abóbora,1.0,Loja de  Pierre  no festival da  Véspera dos Espíritos  (  2 000 ouros  ),,,,
313,Cabeça de abóbora,Uma sofisticada decoração de outono.,Tocha,1.0,Loja de  Pierre  no festival da  Véspera dos Espíritos  (  2 000 ouros  ),,,,
315,Lanchinho,Um lanchinho rápido para o coletor faminto.,Bolota,1.0,Coleta  nível 1,,,45.0,18.0
316,Lanchinho,Um lanchinho rápido para o coletor faminto.,Semente de ácer,1.0,Coleta  nível 1,,,45.0,18.0
317,Lanchinho,Um lanchinho rápido para o coletor faminto.,Pinha,1.0,Coleta  nível 1,,,45.0,18.0
319,Elixir da vida,Restaura sua saúde ao máximo.,Cogumelo vermelho,1.0,Combate  nível 2,,,200.0,80.0
320,Elixir da vida,Restaura sua saúde ao máximo.,Cogumelo roxo,1.0,Combate  nível 2,,,200.0,80.0
321,Elixir da vida,Restaura sua saúde ao máximo.,Morel,1.0,Combate  nível 2,,,200.0,80.0
322,Elixir da vida,Restaura sua saúde ao máximo.,Cantarelo,1.0,Combate  nível 2,,,200.0,80.0
324,Óleo de alho,Beba isto e monstros mais fracos evitarão você.,Alho,10.0,Combate  nível 6,,,200.0,80.0
325,Óleo de alho,Beba isto e monstros mais fracos evitarão você.,Óleo,1.0,Combate  nível 6,,,200.0,80.0
327,Filé de Inseto,A última opção de exploradores de caverna famintos.,Carne de inseto,10.0,Combate  nível 1,,,45.0,30.0
329,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,Madeira,15.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
330,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,Bulbo de Tulipa,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
331,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,Sementes de Jasmim-azul,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
332,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,Sementes de papoula,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
333,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,Sementes de Miçanga,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
335,Estátua maligna,Tem algo estranho com essa estátua.,Pedra,25.0,Loja de  Krobus  (  1 000 ouros  ),,,,
336,Estátua maligna,Tem algo estranho com essa estátua.,Carvão,5.0,Loja de  Krobus  (  1 000 ouros  ),,,,
338,Bloco de flauta,Toca um som de flauta ao passar por ele.,Madeira,10.0,Robin  (Evento de 6 corações),,,,
339,Bloco de flauta,Toca um som de flauta ao passar por ele.,Minério de cobre,2.0,Robin  (Evento de 6 corações),,,,
340,Bloco de flauta,Toca um som de flauta ao passar por ele.,Fibra,20.0,Robin  (Evento de 6 corações),,,,
342,Bloco de bateria,Toca um som de bateria ao passar por ele.,Pedra,10.0,Robin  (Evento de 6 corações),,,,
343,Bloco de bateria,Toca um som de bateria ao passar por ele.,Minério de cobre,2.0,Robin  (Evento de 6 corações),,,,
344,Bloco de bateria,Toca um som de bateria ao passar por ele.,Fibra,20.0,Robin  (Evento de 6 corações),,,,
346,Anzol,Sua forma a faz girar na água. Aumenta levemente as chances de pegar um peixe.,Barra de ferro,2.0,Pesca  nível 6,,,,
348,Boia-armadilha,Faz com que os peixes escapem mais lentamente quando você não está içando a vara.,Barra de cobre,1.0,Pesca  nível 6,,,,
349,Boia-armadilha,Faz com que os peixes escapem mais lentamente quando você não está içando a vara.,Seiva,10.0,Pesca  nível 6,,,,
351,Boia de cortiça,"Aumenta levemente o tamanho da sua ""barra de pesca"".",Madeira,10.0,Pesca  nível 7,,,,
352,Boia de cortiça,"Aumenta levemente o tamanho da sua ""barra de pesca"".",Madeira de lei,5.0,Pesca  nível 7,,,,
353,Boia de cortiça,"Aumenta levemente o tamanho da sua ""barra de pesca"".",Gosma,10.0,Pesca  nível 7,,,,
355,Boia de Qualidade,Aumenta a qualidade dos peixes que você pesca.,Barra de cobre,1.0,Willy  (  Pedido Especial  ),,,,
356,Boia de Qualidade,Aumenta a qualidade dos peixes que você pesca.,Seiva,20.0,Willy  (  Pedido Especial  ),,,,
357,Boia de Qualidade,Aumenta a qualidade dos peixes que você pesca.,Essência solar,5.0,Willy  (  Pedido Especial  ),,,,
359,Caça ao tesouro,Peixes não escapam ao coletar tesouros. Também aumenta levemente as chances de encontrar um tesouro.,Barra de ouro,2.0,Pesca  nível 7,,,,
361,Isca artificial,A aba de metal e a os feixes coloridos criam uma tentação fatal para os peixes. Aumenta a chance de mordida ao pescar.,Barra de ferro,2.0,Pesca  nível 8,,,,
362,Isca artificial,A aba de metal e a os feixes coloridos criam uma tentação fatal para os peixes. Aumenta a chance de mordida ao pescar.,Tecido,1.0,Pesca  nível 8,,,,
364,Anzol farpado,"Prende sua pesca melhor, fazendo com que a ""barra de pesca"" fique presa a ela. Funciona melhor em peixes lentos e fracos.",Barra de cobre,1.0,Pesca  nível 8,,,,
365,Anzol farpado,"Prende sua pesca melhor, fazendo com que a ""barra de pesca"" fique presa a ela. Funciona melhor em peixes lentos e fracos.",Barra de ferro,1.0,Pesca  nível 8,,,,
366,Anzol farpado,"Prende sua pesca melhor, fazendo com que a ""barra de pesca"" fique presa a ela. Funciona melhor em peixes lentos e fracos.",Barra de ouro,1.0,Pesca  nível 8,,,,
368,Ímã,"Aumenta as chances de achar tesouros ao pescar. Entretanto, os peixes não gostam muito do sabor.",Barra de ferro,1.0,Pesca  nível 9,,,,
370,Isca  (5),Faz o peixe morder mais rápido. Deve ser colocado em uma vara de pescar.,Carne de inseto,1.0,Pesca  nível 2,,,,
372,Isca selvagem  (5),Uma receita especial do Linus. Atraente para todos os peixes.,Fibra,10.0,Evento de 4 corações do  Linus,,,,
373,Isca selvagem  (5),Uma receita especial do Linus. Atraente para todos os peixes.,Carne de inseto,5.0,Evento de 4 corações do  Linus,,,,
374,Isca selvagem  (5),Uma receita especial do Linus. Atraente para todos os peixes.,Gosma,5.0,Evento de 4 corações do  Linus,,,,
376,Isca Mágica  (5),"Permite que você pegue peixes de qualquer estação, tempo ou clima a partir de qualquer corpo d'água.",Minério Radioativo,1.0,Sala de Nozes do Sr. Qi  por  20,,,,
377,Isca Mágica  (5),"Permite que você pegue peixes de qualquer estação, tempo ou clima a partir de qualquer corpo d'água.",Carne de inseto,3.0,Sala de Nozes do Sr. Qi  por  20,,,,
379,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",Madeira,40.0,Pesca  nível 3,,,,
380,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",Barra de ferro,3.0,Pesca  nível 3,,,,
381,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",Com a profissão  Armadilheiro  :  Madeira,25.0,Pesca  nível 3,,,,
382,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",Barra de cobre,2.0,Pesca  nível 3,,,,
384,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",Raiz-forte,1.0,Coleta  nível 1,,,,
385,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",Narciso,1.0,Coleta  nível 1,,,,
386,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",Alho-poró,1.0,Coleta  nível 1,,,,
387,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",Dente-de-leão,1.0,Coleta  nível 1,,,,
389,Sementes Silvestres (Ver)  (  Sementes de verão  ),"Várias sementes de verão.  (Nota: O item criado é chamado ""Sementes de verão"". A receita produz 10 sementes por criação.)",Café de jardim,1.0,Coleta  nível 4,,,,
390,Sementes Silvestres (Ver)  (  Sementes de verão  ),"Várias sementes de verão.  (Nota: O item criado é chamado ""Sementes de verão"". A receita produz 10 sementes por criação.)",Uva,1.0,Coleta  nível 4,,,,
391,Sementes Silvestres (Ver)  (  Sementes de verão  ),"Várias sementes de verão.  (Nota: O item criado é chamado ""Sementes de verão"". A receita produz 10 sementes por criação.)",Ervilha-de-cheiro,1.0,Coleta  nível 4,,,,
393,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",Cogumelo comum,1.0,Coleta  nível 6,,,,
394,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",Ameixa selvagem,1.0,Coleta  nível 6,,,,
395,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",Avelã,1.0,Coleta  nível 6,,,,
396,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",Amora,1.0,Coleta  nível 6,,,,
398,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",Raiz de inverno,1.0,Coleta  nível 7,,,,
399,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",Fruta de cristal,1.0,Coleta  nível 7,,,,
400,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",Inhame de neve,1.0,Coleta  nível 7,,,,
401,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",Flor de açafrão,1.0,Coleta  nível 7,,,,
403,Sementes antigas,Elas ainda crescem?,Semente antiga,1.0,Doar uma  Semente antiga  para o  Museu  .,,,,
405,Mudas de grama,Ponha-o na sua fazenda para criar um novo pedaço de grama.,Fibra,10.0,Compradas no  Armazém do Pierre  por  100 ouros,,,,
407,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",Sementes Silvestres,,Caroline  (evento de 2 corações),,,,
408,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",,2.0,Caroline  (evento de 2 corações),,,,
409,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",Fibra,5.0,Caroline  (evento de 2 corações),,,,
410,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",Madeira,5.0,Caroline  (evento de 2 corações),,,,
412,Semente de Fibra  (4),Plante-as em qualquer estação. Não precisam ser regadas. Colha com a foice. Levam 7 dias para crescer.,Sementes mistas,1.0,Linus  (  Pedido Especial  ),,,,
413,Semente de Fibra  (4),Plante-as em qualquer estação. Não precisam ser regadas. Colha com a foice. Levam 7 dias para crescer.,Seiva,5.0,Linus  (  Pedido Especial  ),,,,
414,Semente de Fibra  (4),Plante-as em qualquer estação. Não precisam ser regadas. Colha com a foice. Levam 7 dias para crescer.,Argila,1.0,Linus  (  Pedido Especial  ),,,,
