,Nome,Descrição,Tipo,Ingredientes_item,Ingredientes_qtd,Fonte da Receita,Origem da Receita,Dura Por,Energia,Saúde
81,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,fertilizantes,Argila,1.0,Comerciante da Ilha  por  Fragmento de Brasa  (50),,,,
82,Fertilizante de Árvore,"Use em um árvore para ter um crescimento rápido, até no inverno. Não funciona com árvores de frutos.",fertilizantes,Fibra,5.0,Coleta  Nível 7,,,,
82,Fertilizante de Árvore,"Use em um árvore para ter um crescimento rápido, até no inverno. Não funciona com árvores de frutos.",fertilizantes,Pedra,5.0,Coleta  Nível 7,,,,
83,Tocha,Provê uma quantidade moderada de luz.,iluminacao,Madeira,1.0,Início do jogo,,,,
83,Tocha,Provê uma quantidade moderada de luz.,iluminacao,Seiva,2.0,Início do jogo,,,,
84,Fogueira,Ilumina moderadamente.,iluminacao,Pedra,10.0,Início do jogo,,,,
84,Fogueira,Ilumina moderadamente.,iluminacao,Madeira,10.0,Início do jogo,,,,
84,Fogueira,Ilumina moderadamente.,iluminacao,Fibra,10.0,Início do jogo,,,,
85,Braseiro de madeira,Ilumina moderadamente.,iluminacao,Madeira,10.0,Carpintaria  por  250 ouros,,,,
85,Braseiro de madeira,Ilumina moderadamente.,iluminacao,Carvão,1.0,Carpintaria  por  250 ouros,,,,
85,Braseiro de madeira,Ilumina moderadamente.,iluminacao,Fibra,5.0,Carpintaria  por  250 ouros,,,,
86,Braseiro de pedra,Ilumina moderadamente.,iluminacao,Pedra,10.0,Carpintaria  por  400 ouros,,,,
86,Braseiro de pedra,Ilumina moderadamente.,iluminacao,Carvão,1.0,Carpintaria  por  400 ouros,,,,
86,Braseiro de pedra,Ilumina moderadamente.,iluminacao,Fibra,5.0,Carpintaria  por  400 ouros,,,,
87,Braseiro dourado,Ilumina moderadamente.,iluminacao,Barra de ouro,1.0,Carpintaria  por  1 000 ouros,,,,
87,Braseiro dourado,Ilumina moderadamente.,iluminacao,Carvão,1.0,Carpintaria  por  1 000 ouros,,,,
87,Braseiro dourado,Ilumina moderadamente.,iluminacao,Fibra,5.0,Carpintaria  por  1 000 ouros,,,,
88,Braseiro esculpido,Ilumina moderadamente.,iluminacao,Madeira de lei,10.0,Carpintaria  por  2 000 ouros,,,,
88,Braseiro esculpido,Ilumina moderadamente.,iluminacao,Carvão,1.0,Carpintaria  por  2 000 ouros,,,,
89,Braseiro de toco de árvore,Ilumina moderadamente.,iluminacao,Madeira de lei,5.0,Carpintaria  por  800 ouros,,,,
89,Braseiro de toco de árvore,Ilumina moderadamente.,iluminacao,Carvão,1.0,Carpintaria  por  800 ouros,,,,
90,Braseiro de barril,Ilumina moderadamente.,iluminacao,Madeira,50.0,Carpintaria  por  800 ouros,,,,
90,Braseiro de barril,Ilumina moderadamente.,iluminacao,Essência solar,1.0,Carpintaria  por  800 ouros,,,,
90,Braseiro de barril,Ilumina moderadamente.,iluminacao,Carvão,1.0,Carpintaria  por  800 ouros,,,,
91,Braseiro de crânio,Ilumina moderadamente.,iluminacao,Madeira de lei,10.0,Carpintaria  por  3 000 ouros,,,,
91,Braseiro de crânio,Ilumina moderadamente.,iluminacao,Essência solar,1.0,Carpintaria  por  3 000 ouros,,,,
91,Braseiro de crânio,Ilumina moderadamente.,iluminacao,Carvão,1.0,Carpintaria  por  3 000 ouros,,,,
92,Braseiro de mármore,Ilumina moderadamente.,iluminacao,Mármore,1.0,Carpintaria  por  5 000 ouros,,,,
92,Braseiro de mármore,Ilumina moderadamente.,iluminacao,Água-marinha,1.0,Carpintaria  por  5 000 ouros,,,,
92,Braseiro de mármore,Ilumina moderadamente.,iluminacao,Pedra,100.0,Carpintaria  por  5 000 ouros,,,,
93,Poste de luz lígneo,Ilumina bem.,iluminacao,Madeira,50.0,Carpintaria  por  500 ouros,,,,
93,Poste de luz lígneo,Ilumina bem.,iluminacao,Conjunto de pilhas,1.0,Carpintaria  por  500 ouros,,,,
94,Poste de luz férreo,Ilumina bem.,iluminacao,Barra de ferro,1.0,Carpintaria  por  1 000 ouros,,,,
94,Poste de luz férreo,Ilumina bem.,iluminacao,Conjunto de pilhas,1.0,Carpintaria  por  1 000 ouros,,,,
95,Cabeça de abóbora,Uma sofisticada decoração de outono.,iluminacao,Abóbora,1.0,Loja de  Pierre  no festival da  Véspera dos Espíritos  (  2 000 ouros  ),,,,
95,Cabeça de abóbora,Uma sofisticada decoração de outono.,iluminacao,Tocha,1.0,Loja de  Pierre  no festival da  Véspera dos Espíritos  (  2 000 ouros  ),,,,
96,Lanchinho,Um lanchinho rápido para o coletor faminto.,itens_comestiveis,Bolota,1.0,Coleta  nível 1,,,45.0,18.0
96,Lanchinho,Um lanchinho rápido para o coletor faminto.,itens_comestiveis,Semente de ácer,1.0,Coleta  nível 1,,,45.0,18.0
96,Lanchinho,Um lanchinho rápido para o coletor faminto.,itens_comestiveis,Pinha,1.0,Coleta  nível 1,,,45.0,18.0
97,Elixir da vida,Restaura sua saúde ao máximo.,itens_comestiveis,Cogumelo vermelho,1.0,Combate  nível 2,,,200.0,80.0
97,Elixir da vida,Restaura sua saúde ao máximo.,itens_comestiveis,Cogumelo roxo,1.0,Combate  nível 2,,,200.0,80.0
97,Elixir da vida,Restaura sua saúde ao máximo.,itens_comestiveis,Morel,1.0,Combate  nível 2,,,200.0,80.0
97,Elixir da vida,Restaura sua saúde ao máximo.,itens_comestiveis,Cantarelo,1.0,Combate  nível 2,,,200.0,80.0
98,Óleo de alho,Beba isto e monstros mais fracos evitarão você.,itens_comestiveis,Alho,10.0,Combate  nível 6,,,200.0,80.0
98,Óleo de alho,Beba isto e monstros mais fracos evitarão você.,itens_comestiveis,Óleo,1.0,Combate  nível 6,,,200.0,80.0
99,Filé de Inseto,A última opção de exploradores de caverna famintos.,itens_comestiveis,Carne de inseto,10.0,Combate  nível 1,,,45.0,30.0
100,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,mobilia,Madeira,15.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
100,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,mobilia,Bulbo de Tulipa,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
100,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,mobilia,Sementes de Jasmim-azul,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
100,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,mobilia,Sementes de papoula,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
100,Barril de flores,Flores plantadas em um barril de carvalho. Floresce na  primavera  e  verão  .,mobilia,Sementes de Miçanga,1.0,Loja de  Pierre  na  Dança das Flores  (  2 000 ouros  ),,,,
101,Estátua maligna,Tem algo estranho com essa estátua.,mobilia,Pedra,25.0,Loja de  Krobus  (  1 000 ouros  ),,,,
101,Estátua maligna,Tem algo estranho com essa estátua.,mobilia,Carvão,5.0,Loja de  Krobus  (  1 000 ouros  ),,,,
102,Bloco de flauta,Toca um som de flauta ao passar por ele.,mobilia,Madeira,10.0,Robin  (Evento de 6 corações),,,,
102,Bloco de flauta,Toca um som de flauta ao passar por ele.,mobilia,Minério de cobre,2.0,Robin  (Evento de 6 corações),,,,
102,Bloco de flauta,Toca um som de flauta ao passar por ele.,mobilia,Fibra,20.0,Robin  (Evento de 6 corações),,,,
103,Bloco de bateria,Toca um som de bateria ao passar por ele.,mobilia,Pedra,10.0,Robin  (Evento de 6 corações),,,,
103,Bloco de bateria,Toca um som de bateria ao passar por ele.,mobilia,Minério de cobre,2.0,Robin  (Evento de 6 corações),,,,
103,Bloco de bateria,Toca um som de bateria ao passar por ele.,mobilia,Fibra,20.0,Robin  (Evento de 6 corações),,,,
104,Anzol,Sua forma a faz girar na água. Aumenta levemente as chances de pegar um peixe.,pesca,Barra de ferro,2.0,Pesca  nível 6,,,,
105,Boia-armadilha,Faz com que os peixes escapem mais lentamente quando você não está içando a vara.,pesca,Barra de cobre,1.0,Pesca  nível 6,,,,
105,Boia-armadilha,Faz com que os peixes escapem mais lentamente quando você não está içando a vara.,pesca,Seiva,10.0,Pesca  nível 6,,,,
106,Boia de cortiça,"Aumenta levemente o tamanho da sua ""barra de pesca"".",pesca,Madeira,10.0,Pesca  nível 7,,,,
106,Boia de cortiça,"Aumenta levemente o tamanho da sua ""barra de pesca"".",pesca,Madeira de lei,5.0,Pesca  nível 7,,,,
106,Boia de cortiça,"Aumenta levemente o tamanho da sua ""barra de pesca"".",pesca,Gosma,10.0,Pesca  nível 7,,,,
107,Boia de Qualidade,Aumenta a qualidade dos peixes que você pesca.,pesca,Barra de cobre,1.0,Willy  (  Pedido Especial  ),,,,
107,Boia de Qualidade,Aumenta a qualidade dos peixes que você pesca.,pesca,Seiva,20.0,Willy  (  Pedido Especial  ),,,,
107,Boia de Qualidade,Aumenta a qualidade dos peixes que você pesca.,pesca,Essência solar,5.0,Willy  (  Pedido Especial  ),,,,
108,Caça ao tesouro,Peixes não escapam ao coletar tesouros. Também aumenta levemente as chances de encontrar um tesouro.,pesca,Barra de ouro,2.0,Pesca  nível 7,,,,
109,Isca artificial,A aba de metal e a os feixes coloridos criam uma tentação fatal para os peixes. Aumenta a chance de mordida ao pescar.,pesca,Barra de ferro,2.0,Pesca  nível 8,,,,
109,Isca artificial,A aba de metal e a os feixes coloridos criam uma tentação fatal para os peixes. Aumenta a chance de mordida ao pescar.,pesca,Tecido,1.0,Pesca  nível 8,,,,
110,Anzol farpado,"Prende sua pesca melhor, fazendo com que a ""barra de pesca"" fique presa a ela. Funciona melhor em peixes lentos e fracos.",pesca,Barra de cobre,1.0,Pesca  nível 8,,,,
110,Anzol farpado,"Prende sua pesca melhor, fazendo com que a ""barra de pesca"" fique presa a ela. Funciona melhor em peixes lentos e fracos.",pesca,Barra de ferro,1.0,Pesca  nível 8,,,,
110,Anzol farpado,"Prende sua pesca melhor, fazendo com que a ""barra de pesca"" fique presa a ela. Funciona melhor em peixes lentos e fracos.",pesca,Barra de ouro,1.0,Pesca  nível 8,,,,
111,Ímã,"Aumenta as chances de achar tesouros ao pescar. Entretanto, os peixes não gostam muito do sabor.",pesca,Barra de ferro,1.0,Pesca  nível 9,,,,
112,Isca  (5),Faz o peixe morder mais rápido. Deve ser colocado em uma vara de pescar.,pesca,Carne de inseto,1.0,Pesca  nível 2,,,,
113,Isca selvagem  (5),Uma receita especial do Linus. Atraente para todos os peixes.,pesca,Fibra,10.0,Evento de 4 corações do  Linus,,,,
113,Isca selvagem  (5),Uma receita especial do Linus. Atraente para todos os peixes.,pesca,Carne de inseto,5.0,Evento de 4 corações do  Linus,,,,
113,Isca selvagem  (5),Uma receita especial do Linus. Atraente para todos os peixes.,pesca,Gosma,5.0,Evento de 4 corações do  Linus,,,,
114,Isca Mágica  (5),"Permite que você pegue peixes de qualquer estação, tempo ou clima a partir de qualquer corpo d'água.",pesca,Minério Radioativo,1.0,Sala de Nozes do Sr. Qi  por  20,,,,
114,Isca Mágica  (5),"Permite que você pegue peixes de qualquer estação, tempo ou clima a partir de qualquer corpo d'água.",pesca,Carne de inseto,3.0,Sala de Nozes do Sr. Qi  por  20,,,,
115,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",pesca,Madeira,40.0,Pesca  nível 3,,,,
115,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",pesca,Barra de ferro,3.0,Pesca  nível 3,,,,
115,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",pesca,Com a profissão  Armadilheiro  :  Madeira,25.0,Pesca  nível 3,,,,
115,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",pesca,Barra de cobre,2.0,Pesca  nível 3,,,,
116,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",sementes,Raiz-forte,1.0,Coleta  nível 1,,,,
116,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",sementes,Narciso,1.0,Coleta  nível 1,,,,
116,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",sementes,Alho-poró,1.0,Coleta  nível 1,,,,
116,Sementes Silvestres (Prim)  (  Sementes de primavera  ),"Uma combinação de sementes selvagens de primavera.  (Nota: O item criado é chamado ""Sementes de primavera"". A receita produz 10 sementes por criação.)",sementes,Dente-de-leão,1.0,Coleta  nível 1,,,,
117,Sementes Silvestres (Ver)  (  Sementes de verão  ),"Várias sementes de verão.  (Nota: O item criado é chamado ""Sementes de verão"". A receita produz 10 sementes por criação.)",sementes,Café de jardim,1.0,Coleta  nível 4,,,,
117,Sementes Silvestres (Ver)  (  Sementes de verão  ),"Várias sementes de verão.  (Nota: O item criado é chamado ""Sementes de verão"". A receita produz 10 sementes por criação.)",sementes,Uva,1.0,Coleta  nível 4,,,,
117,Sementes Silvestres (Ver)  (  Sementes de verão  ),"Várias sementes de verão.  (Nota: O item criado é chamado ""Sementes de verão"". A receita produz 10 sementes por criação.)",sementes,Ervilha-de-cheiro,1.0,Coleta  nível 4,,,,
118,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",sementes,Cogumelo comum,1.0,Coleta  nível 6,,,,
118,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",sementes,Ameixa selvagem,1.0,Coleta  nível 6,,,,
118,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",sementes,Avelã,1.0,Coleta  nível 6,,,,
118,Sementes Silvestres (Out)  (  Sementes de outono  ),"Uma combinação de sementes selvagens de outono.  (Nota: O item criado é chamado ""Sementes de outono"". A receita produz 10 sementes por criação.)",sementes,Amora,1.0,Coleta  nível 6,,,,
119,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",sementes,Raiz de inverno,1.0,Coleta  nível 7,,,,
119,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",sementes,Fruta de cristal,1.0,Coleta  nível 7,,,,
119,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",sementes,Inhame de neve,1.0,Coleta  nível 7,,,,
119,Sementes Silvestres (Inv)  (  Sementes de inverno  ),"Coleção de sementes de inverno selvagens.  (Nota: O item criado é chamado ""Sementes de inverno"". A receita produz 10 sementes por criação.)",sementes,Flor de açafrão,1.0,Coleta  nível 7,,,,
120,Sementes antigas,Elas ainda crescem?,sementes,Semente antiga,1.0,Doar uma  Semente antiga  para o  Museu  .,,,,
121,Mudas de grama,Ponha-o na sua fazenda para criar um novo pedaço de grama.,sementes,Fibra,10.0,Compradas no  Armazém do Pierre  por  100 ouros,,,,
122,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",sementes,Sementes Silvestres,,Caroline  (evento de 2 corações),,,,
122,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",sementes,,2.0,Caroline  (evento de 2 corações),,,,
122,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",sementes,Fibra,5.0,Caroline  (evento de 2 corações),,,,
122,Broto de Chá,"Demora 20 dias para crescer. Produz folhas de chá durante a última semana de cada estação, exceto inverno. Sem precisar regar!",sementes,Madeira,5.0,Caroline  (evento de 2 corações),,,,
123,Semente de Fibra  (4),Plante-as em qualquer estação. Não precisam ser regadas. Colha com a foice. Levam 7 dias para crescer.,sementes,Sementes mistas,1.0,Linus  (  Pedido Especial  ),,,,
123,Semente de Fibra  (4),Plante-as em qualquer estação. Não precisam ser regadas. Colha com a foice. Levam 7 dias para crescer.,sementes,Seiva,5.0,Linus  (  Pedido Especial  ),,,,
123,Semente de Fibra  (4),Plante-as em qualquer estação. Não precisam ser regadas. Colha com a foice. Levam 7 dias para crescer.,sementes,Argila,1.0,Linus  (  Pedido Especial  ),,,,
